sampleID,sex,sample_type,weight,hemoglobin,cornea_morphology,grip_strength,vertebrae_morphology,heart_rate_bpm
E64-02861,male,mutant,29.8,13.9,normal,146.09334,normal,741.0
E64-02862,male,mutant,29.2,14.6,normal,164.09166,abnormal,781.0
E64-02863,male,mutant,30.6,15.4,right eye abnormal,154.135,abnormal,790.0
E64-02864,female,mutant,23.4,14.2,right eye abnormal,146.476,normal,761.0
E64-02865,female,mutant,21.3,14.7,normal,156.24133,normal,755.0
E64-02866,female,mutant,22.9,14.4,normal,151.263,normal,776.0
E64-02887,male,mutant,28.4,14.1,normal,151.26266,abnormal,762.0
E64-02889,male,mutant,29.1,15.2,right eye abnormal,145.327,abnormal,752.0
E64-02890,male,mutant,26.4,14.6,normal,168.687,normal,812.0
E64-02891,male,mutant,26.0,14.4,normal,172.70767,normal,755.0
E64-02892,female,mutant,22.2,13.3,normal,106.07533,normal,768.0
E64-02893,female,mutant,21.2,14.9,right eye abnormal,137.28566,normal,815.0
E64-02894,female,mutant,23.1,15.1,normal,176.92033,normal,777.0
E64-02900,female,mutant,22.0,14.9,right eye abnormal,124.07367,normal,800.0
E64-02901,female,mutant,22.2,15.0,normal,131.92433,normal,802.0
064-EPJ77,female,control,22.6,14.2,normal,193.36667,normal,826.0
64S-79628,male,control,22.11,15.3,normal,259.445,normal,747.0
64S-79629,male,control,24.4,15.2,normal,222.108,normal,742.0
64S-79630,male,control,23.5,15.4,normal,229.767,normal,779.0
64S-79631,female,control,19.44,15.5,normal,192.621,normal,758.0
64S-79632,female,control,19.4,15.1,right eye abnormal,188.40834,normal,750.0
64Z-61012,male,control,26.8,14.5,normal,211.16667,abnormal,704.0
64Z-61014,male,control,27.5,14.9,normal,238.73334,normal,755.0
64Z-61015,male,control,26.4,14.3,normal,297.73334,normal,717.0
64Z-61016,male,control,26.7,14.3,normal,176.16667,normal,728.0
64Z-61018,male,control,26.0,15.2,normal,238.03334,normal,805.0
64Z-61019,male,control,24.8,15.1,normal,197.2,normal,625.0
64Z-61023,female,control,21.6,14.2,normal,219.03334,normal,783.0
64Z-61024,female,control,20.6,14.6,normal,187.63333,normal,716.0
64Z-61025,female,control,21.9,13.8,normal,223.23334,normal,789.0
64Z-61026,female,control,22.8,14.5,normal,173.3,normal,742.0
64Z-61027,female,control,18.6,12.3,normal,214.43333,normal,654.0
64Z-61028,female,control,24.6,14.0,normal,199.33333,abnormal,676.0
64Z-61029,female,control,21.0,10.6,normal,178.26666,normal,736.0
64Z-61339,male,control,25.6,15.7,normal,209.85367,normal,712.0
64Z-61340,male,control,28.7,14.8,normal,264.998,normal,748.0
64Z-61341,female,control,19.38,14.5,left eye abnormal,212.917,normal,725.0
64Z-61343,female,control,20.55,15.6,normal,217.321,normal,773.0
64Z-61345,male,control,25.03,14.7,normal,280.69833,normal,752.0
64Z-61346,male,control,22.81,14.1,normal,220.959,normal,685.0
64Z-61347,male,control,29.9,14.5,normal,311.7,normal,741.0
64Z-61348,male,control,22.3,13.9,normal,276.5,normal,673.0
64Z-61349,male,control,27.7,14.9,normal,199.7,normal,605.0
64Z-61350,male,control,28.2,13.4,right eye abnormal,203.93333,normal,672.0
64Z-61351,female,control,22.2,14.6,normal,187.26,normal,735.0
64Z-61352,female,control,22.8,14.1,right eye abnormal,168.66667,normal,745.0
64Z-61353,female,control,24.1,14.2,normal,212.56667,normal,759.0
64Z-61354,male,control,29.8,15.2,normal,301.36667,normal,761.0
64Z-61355,male,control,29.8,14.4,normal,226.5,normal,767.0
64Z-61358,female,control,25.0,14.4,normal,150.3,normal,769.0
64Z-61359,female,control,22.4,14.1,left eye abnormal,124.86667,normal,725.0
64Z-61360,female,control,23.8,14.4,normal,129.26666,normal,744.0
64Z-61361,male,control,27.8,13.3,right eye abnormal,211.73334,normal,738.0
81S-01204,female,control,23.6,14.2,normal,202.57767,normal,788.0
81Z-02441,female,control,27.8,13.6,normal,196.312,normal,732.0
81Z-02488,female,control,24.0,13.9,normal,254.65967,normal,768.0
81Z-02489,female,control,23.8,12.1,normal,229.079,normal,808.0
81Z-63769,male,control,29.0,12.2,normal,194.72734,normal,818.0
81Z-63770,male,control,27.0,13.3,normal,223.63966,normal,758.0
81Z-63771,male,control,28.7,14.2,normal,260.01965,normal,801.0
81Z-63772,male,control,27.4,13.7,normal,225.17134,normal,786.0
81Z-63773,male,control,27.9,13.8,normal,204.87534,normal,736.0
81Z-63784,female,control,20.6,13.8,normal,228.235,normal,797.0
81Z-63785,female,control,23.0,14.0,right eye abnormal,179.02667,normal,682.0
81Z-63786,female,control,21.3,13.7,normal,188.21733,normal,688.0
81Z-63787,female,control,24.4,13.4,normal,248.914,normal,746.0
81Z-63788,female,control,22.7,13.1,left eye abnormal,211.00267,normal,776.0
81Z-64188,female,control,25.4,13.6,normal,228.618,normal,804.0
81Z-64189,male,control,25.4,13.7,right eye abnormal,246.99933,normal,737.0
81Z-64190,male,control,27.8,13.4,normal,264.615,normal,742.0
81Z-64191,female,control,21.4,13.6,normal,217.12933,normal,787.0
81Z-64192,male,control,29.5,14.5,left eye abnormal,193.76967,normal,682.0
81Z-64193,male,control,30.7,13.5,normal,244.89333,normal,790.0
81Z-64194,female,control,23.1,13.6,normal,196.64233,normal,780.0
81Z-64195,female,control,22.7,13.1,normal,240.48933,normal,813.0
81Z-64196,female,control,24.6,13.4,normal,225.74567,normal,749.0
81Z-64230,male,control,27.5,15.4,normal,233.78767,normal,683.0
81Z-64232,female,control,24.5,12.2,normal,210.045,normal,704.0
81Z-64234,female,control,23.7,13.8,normal,230.724,normal,712.0
81Z-64235,female,control,26.5,14.2,normal,245.85066,normal,753.0
81Z-64267,male,control,23.8,13.4,normal,225.36267,normal,724.0
81Z-64268,male,control,24.9,13.8,normal,197.79066,normal,671.0
81Z-64269,male,control,30.6,13.2,normal,241.44667,normal,762.0
81Z-64270,male,control,25.9,12.9,normal,189.55766,normal,709.0
81Z-64278,male,control,31.3,13.7,normal,270.93332,normal,729.0
81Z-64279,female,control,29.3,14.2,normal,219.81,normal,794.0
81Z-64280,female,control,26.5,14.4,normal,206.02434,normal,727.0
81Z-64281,female,control,25.6,14.2,normal,200.663,normal,696.0
81Z-64282,male,control,26.3,14.7,normal,224.597,normal,681.0
81Z-64285,male,control,25.3,13.0,right eye abnormal,264.04034,normal,699.0
81Z-64286,male,control,28.5,13.7,right eye abnormal,266.721,normal,758.0
81Z-64287,female,control,20.8,14.3,normal,234.17067,normal,763.0
