sampleID,sex,sample_type,weight,optic_disk_morphology,time_dark_side,cataract
X40143,female,mutant,19.7,abnormal,209.3,present
X40138,female,mutant,20.22,normal,268.1,present
X40142,female,mutant,21.94,normal,247.3,present
X34648,female,mutant,23.85,normal,366.8,present
X40139,female,mutant,25.09,abnormal,313.6,present
X34632,female,mutant,26.19,normal,196.1,present
X34642,female,mutant,27.68,normal,302.9,present
X40144,female,mutant,28.35,normal,207.4,absent
X38845,male,mutant,25.97,normal,142.6,absent
X38840,male,mutant,26.29,normal,116.1,absent
X38846,male,mutant,26.5,normal,127.7,absent
X40151,male,mutant,27.54,normal,154.5,absent
X34650,male,mutant,28.47,abnormal,189.4,absent
X40153,male,mutant,29.03,normal,144.1,absent
X34651,male,mutant,30.29,abnormal,151.0,present
X40147,male,mutant,30.61,normal,165.9,absent
K85196,female,control,13.77,normal,167.0,absent
K86601,female,control,14.31,normal,177.1,absent
K86603,female,control,14.35,normal,144.6,absent
K40100,female,control,14.66,normal,149.7,absent
K88231,female,control,15.41,normal,134.0,absent
K57465,female,control,15.45,normal,161.2,absent
K93416,female,control,15.65,normal,178.9,absent
K63304,female,control,15.74,normal,197.1,absent
K99447,female,control,15.76,normal,71.0,absent
K68737,female,control,15.83,normal,160.4,absent
K61069,female,control,15.98,normal,121.4,absent
K77277,female,control,15.99,normal,206.5,absent
K73948,female,control,16.04,normal,79.7,absent
K101073,female,control,16.04,normal,191.1,absent
K61073,female,control,16.05,normal,131.6,absent
C5945,female,control,16.06,normal,204.5,absent
XL01751,female,control,16.19,normal,230.8,absent
J5209,female,control,16.36,normal,162.5,absent
K76399,female,control,16.37,normal,178.2,absent
K99444,female,control,16.48,normal,145.3,absent
K77276,female,control,16.54,normal,228.8,absent
K93415,female,control,16.55,normal,200.4,absent
K40101,female,control,16.58,normal,184.8,absent
K42413,female,control,16.59,normal,137.2,absent
K85198,female,control,16.59,normal,199.4,absent
K88228,female,control,16.64,normal,155.6,absent
K38252,female,control,16.7,normal,139.0,absent
K88229,female,control,16.7,normal,166.5,absent
K33604,female,control,16.73,normal,124.4,absent
K40099,female,control,16.73,normal,170.2,absent
K81883,female,control,16.8,normal,183.1,absent
K44269,female,control,16.85,normal,184.8,absent
K7792,female,control,16.88,normal,172.3,absent
XL01554,female,control,16.96,normal,124.0,absent
K86600,female,control,16.98,normal,207.5,absent
K80531,female,control,17.01,normal,179.8,absent
K1998,female,control,17.02,normal,189.5,absent
K7791,female,control,17.03,normal,180.5,absent
J3395,female,control,17.03,normal,184.5,absent
J10327,female,control,17.04,normal,198.9,absent
K89479,female,control,17.07,normal,205.4,absent
K99443,female,control,17.09,normal,155.2,absent
