sampleID,sex,sample_type,weight,coat_appearance,left_ventricle_diameter,heart_rate,cardiac_output
263528,female,mutant,21,normal,3.635937,479.4017,16.320759
264610,male,mutant,23.2,abnormal,3.534375,439.9257,15.253032
264612,female,mutant,17.9,normal,3.382292,468.75,15.851994
266570,female,mutant,19.8,normal,3.402344,507.3052,14.457183
278092,male,mutant,26.7,abnormal,3.33125,610.4178,26.850796
278416,male,mutant,28.8,abnormal,3.625781,586.0749,24.961756
279151,female,mutant,18.2,normal,2.895312,458.76236,19.915016
282079,male,mutant,23.6,abnormal,3.747656,533.9345,20.331047
282500,female,mutant,18.8,normal,2.877604,527.179,18.168436
283720,female,mutant,20,normal,3.647917,540.9759,17.477001
283723,male,mutant,23.2,normal,3.707031,451.83444,13.664529
283725,male,mutant,22.9,abnormal,2.996094,459.6433,15.996375
286028,female,mutant,21.4,normal,3.625781,500.584,25.15694
287511,female,mutant,18.2,normal,3.097656,467.1442,13.663117
287512,female,mutant,21.4,normal,3.152,498,15.429
2656,female,control,19.5,normal,3.81,409,17.6
3879,female,control,20.2,normal,3.61,450,17.6
42984,female,control,18.9,normal,2.63,502,13.45
42987,female,control,16.9,normal,2.21,502,17.11
66147,male,control,20,normal,2.92,379,14.68
68462,male,control,22.2,normal,4.49,341,15.13
68464,male,control,22.8,normal,3.12,397,17.95
71931,female,control,18.4,normal,3.62,456,16.21
71932,female,control,19.8,normal,2.55,488,23.05
81249,female,control,18.7,normal,3.08125,406.8946,15.527391
81759,male,control,27,normal,3.991406,429.08224,23.665895
81760,male,control,25.4,normal,3.280469,415.94455,17.910227
82978,male,control,25.3,normal,3.432812,372.76727,16.026365
85472,female,control,19.2,normal,2.752344,455.84045,22.618607
85522,male,control,25,normal,3.544531,390.7204,21.061138
85790,male,control,24.5,normal,3.330814,364.83405,17.340818
86986,male,control,22.9,normal,3.449419,359.91003,14.609368
86989,male,control,26.9,normal,2.925581,517.05566,14.926354
87389,male,control,23.6,normal,3.541927,385.74872,15.319588
88123,male,control,23.9,normal,2.789063,460.6526,20.272816
88124,male,control,24.9,normal,3.29375,368.38065,19.154696
88131,female,control,19.3,normal,2.727083,492.64453,17.47215
88132,female,control,20.1,normal,3.010417,469.36115,20.06831
88141,female,control,20.8,normal,2.975,505.79556,21.83719
88293,female,control,21.2,normal,2.921875,411.60498,16.246386
88294,female,control,19.9,normal,2.515,451,20.8
89604,female,control,19.8,normal,2.700521,480.80133,20.457605
90287,male,control,23.9,normal,3.028125,459.2569,25.109138
90576,male,control,23.6,normal,2.815625,434.38913,18.74688
90586,male,control,26.5,normal,3.461979,438.28946,21.59755
90592,male,control,26.5,normal,3.63,504,31.597
90594,female,control,22,normal,3.270052,372.2373,13.393316
93491,female,control,20.2,normal,2.284375,531.3653,18.392445
93532,female,control,20.2,normal,2.789063,479.04193,18.237682
96509,male,control,26.1,normal,3.270313,414.74655,18.836151
96544,male,control,27.6,normal,3.143229,495.10056,27.2
96547,female,control,21.7,normal,2.514583,550.9853,20.46247
98120,male,control,24.2,normal,3.329167,448.59814,18.066736
98681,female,control,18.4,normal,3.302604,383.18256,15.473357
98761,male,control,24.7,normal,2.842188,383.28455,12.496257
98766,female,control,20.6,normal,3.503906,431.26685,22.856594
98767,female,control,20.4,normal,2.434896,515.667,22.214499
101099,female,control,22.3,normal,2.461979,547.42444,20.111624
102921,male,control,24.9,normal,2.479167,508.0261,25.276995
106447,male,control,25.9,normal,3.00625,506.15115,20.771132
106448,male,control,25.7,normal,1.885938,484.6853,11.290753
106450,female,control,19.4,normal,3.08125,447.6916,20.729202
106469,male,control,23.2,normal,2.224219,580.52814,24.55609
106471,female,control,19.2,normal,3.417708,479.28107,17.573751
107586,female,control,19.6,normal,3.497396,416.78726,12.767487
107898,male,control,26.8,normal,2.589844,570.41,31.0
108813,male,control,25.4,normal,3.540625,384.71814,19.444805
109246,female,control,18.9,normal,2.452604,346.02908,11.329172
110846,female,control,21.3,normal,3.889844,357.0543,11.275579
115608,male,control,24.8,normal,2.721875,328.31738,11.910117
115612,female,control,21.7,normal,2.470312,438.9575,19.48713
116719,male,control,25.9,normal,4.319792,378.34998,17.901014
117195,male,control,27.4,normal,4.4,464.06705,14.244225
117198,female,control,22.4,normal,3.42225,371.56497,19.959278
117789,female,control,18.9,normal,3.097656,486.158,20.125473
117809,female,control,18.2,normal,2.647396,493.1507,20.917236
117826,male,control,25,normal,3.483333,383.23352,12.17353
117835,male,control,25.2,normal,3.540625,391.4107,20.187906
119123,male,control,22.9,normal,3.00625,494.9304,24.204449
120988,male,control,25.4,normal,3.288542,491.4676,18.726444
120989,male,control,26,normal,2.884375,452.40338,23.624514
123078,male,control,22.9,normal,2.930729,406.2632,15.427978
123112,female,control,20.8,normal,2.813281,446.09665,17.653534
123150,female,control,19.7,normal,3.321094,405.80527,18.663767
123151,female,control,21.8,normal,3.229687,408.97473,17.17378
124045,male,control,26.1,normal,2.84375,591.8619,23.025827
124059,female,control,21,normal,3.767969,383.28455,10.899715
126140,female,control,20.9,normal,2.732031,433.86563,10.374975
126183,female,control,18.9,normal,3.260156,450.35184,17.229107
126185,female,control,19.6,normal,2.945313,510.54776,17.197906
126206,male,control,24.5,normal,3.290625,465.11627,21.470837
126233,male,control,24.7,normal,2.945313,494.25092,16.7386
126414,male,control,23.8,normal,3.534375,359.1918,12.110269
126415,male,control,24.5,normal,3.178906,424.46573,19.865078
127049,male,control,23.5,normal,3.260156,381.50748,15.523408
128472,male,control,24.5,normal,3.341406,385.49057,13.54951
128481,female,control,20.8,normal,3.463281,384.25616,11.973388
128486,female,control,20.8,normal,2.813281,497.23758,22.703434
130151,male,control,26.5,normal,2.955469,486.40433,21.223738
130197,female,control,22,normal,2.904688,410.60736,19.100708
130221,male,control,25.2,normal,3.016406,453.6862,21.79971
130245,male,control,28.1,normal,3.758333,516.9628,15.624333
130267,male,control,28.7,normal,3.544531,469.13177,24.303267
130274,female,control,21,normal,3.442969,389.82132,16.48996
130275,female,control,21.2,normal,3.646094,405.80527,16.44336
130294,female,control,19.3,normal,3.046875,430.17178,18.57618
130302,male,control,25.8,normal,4.159375,388.7689,14.151553
130316,male,control,22,normal,3.442969,307.4952,11.638553
130389,male,control,24.2,normal,3.950781,434.5858,16.089893
130930,female,control,20.8,normal,3.117969,396.0941,14.819116
130987,female,control,21.8,normal,2.996094,497.40933,17.46252
131129,female,control,19.9,normal,2.833594,507.48898,20.526346
131682,female,control,21.4,normal,3.33125,369.70474,14.808309
131689,male,control,26.3,normal,3.057031,575.6546,26.462584
132126,male,control,26.3,normal,3.432812,407.47028,12.211917
132131,female,control,20.2,normal,3.199219,437.29123,16.745369
132159,female,control,18.7,normal,2.935156,512.8205,17.564856
132240,female,control,20.3,normal,2.640625,552.0414,23.22969
132775,male,control,26,normal,3.625781,409.0909,15.516675
132799,female,control,22.2,normal,2.886458,411.31107,17.312496
132807,male,control,27.7,normal,3.351563,427.42654,16.912083
132808,male,control,24.6,normal,3.778125,342.36804,13.518044
133303,male,control,24.5,normal,3.199219,393.65775,12.646209
133306,male,control,24.7,normal,3.219531,459.0373,21.48423
133311,female,control,22.3,normal,3.026562,490.71393,21.308086
133327,female,control,20.1,normal,2.744792,461.98267,17.330706
133328,female,control,20,normal,3.270313,487.72226,17.891459
133354,female,control,21.8,normal,2.660938,519.10596,18.14911
134761,male,control,24,normal,3.304167,520.60736,22.798786
134808,female,control,19.5,normal,3.503906,386.57718,10.757255
134814,male,control,24.5,normal,3.392187,378.49915,15.050521
134815,male,control,25.3,normal,3.158594,413.73367,16.545515
134829,female,control,20.1,normal,2.620312,429.46616,13.109806
135660,male,control,25.6,normal,3.81875,398.39536,14.305661
135671,male,control,25.8,normal,3.310938,413.73367,16.145699
136154,female,control,18.4,normal,2.966146,433.0827,14.28623
136156,female,control,20.6,normal,3.33125,438.42288,19.283482
136174,male,control,22.5,normal,3.615625,366.5988,14.164324
136175,male,control,22.8,normal,3.635937,365.66785,10.940519
136504,male,control,24.6,normal,3.128125,499.56635,25.720934
136506,female,control,20.8,normal,3.199219,336.99976,12.618233
136655,male,control,26,normal,2.691406,457.36066,19.007725
136658,female,control,22,normal,3.554688,438.9575,14.596735
136824,female,control,18.7,normal,3.16875,424.77875,17.31953
136838,male,control,22.1,normal,3.16875,478.16702,17.141298
136880,female,control,21.4,normal,2.752344,495.10056,19.347912
138758,male,control,24,normal,3.341406,392.7987,14.892824
140187,male,control,21.3,normal,2.935156,491.2161,15.034653
141281,female,control,19.8,normal,3.270313,403.644,13.91134
141314,male,control,22.8,normal,3.184309,405.5767,19.84837
142454,female,control,18.2,normal,2.457813,434.32364,15.264179
142485,male,control,23,normal,3.178906,369.9422,16.018835
142486,female,control,19.5,normal,2.833594,457.28802,19.344358
144003,male,control,23.9,normal,3.107813,500,24.102262
145030,female,control,18.8,normal,2.579687,471.89908,18.680422
145050,female,control,19.8,normal,3.063542,399.7779,15.150677
146416,female,control,18.8,normal,3.260156,470.35767,22.051506
146442,female,control,21.4,normal,2.523438,506.86377,16.081316
147205,male,control,23.1,normal,2.874219,463.99228,17.647057
149423,male,control,25.3,normal,3.231771,455.7683,18.643942
149450,female,control,19.9,normal,2.528906,533.13586,19.461306
149725,male,control,26.5,normal,3.575,433.34335,21.68696
149731,male,control,29.6,normal,3.077344,446.99673,20.766861
149738,female,control,22.9,normal,2.833594,461.98267,21.592167
149761,female,control,20.7,normal,2.6,434.71698,17.936134
150212,female,control,20.3,normal,3.001562,427.93463,17.179626
151120,female,control,22.5,normal,3.026562,450.35184,17.85808
151129,male,control,24,normal,2.996094,439.09134,20.399265
151133,male,control,23.6,normal,2.508594,508.2054,19.407938
151284,male,control,26.8,normal,3.090104,533.7287,21.1707
152076,male,control,21.5,normal,2.647396,511.36365,17.61391
152579,female,control,18.5,normal,3.321094,458.7448,18.62939
153725,male,control,25.2,normal,3.727344,522.97076,18.666016
153850,female,control,18.9,normal,3.107813,466.24576,17.440609
154559,male,control,25.2,normal,4.011719,492.30768,25.593838
154571,female,control,18.5,normal,2.955469,502.8811,17.80447
155944,male,control,24.3,normal,2.792969,434.32364,17.661606
155948,male,control,24.5,normal,3.107813,426.66666,18.428968
156048,male,control,23.8,normal,2.386719,516.129,21.463161
156053,female,control,17.2,normal,2.452604,487.4746,13.696072
156117,male,control,27.7,normal,3.067188,559.2233,22.05984
157439,female,control,20.2,normal,2.782812,466.85037,21.241377
157522,male,control,25.9,normal,3.077344,575.30963,21.428345
158695,female,control,18.5,normal,2.772656,534.5212,19.843664
158808,male,control,27.7,normal,3.351563,486.40433,28.590048
158863,female,control,17.6,normal,2.335938,494.76035,18.517122
159205,female,control,19.8,normal,3.25,486.98004,22.024399
159244,male,control,24.8,normal,2.975781,455.6962,21.667229
159251,male,control,25.4,normal,2.914844,549.8282,25.549797
159255,female,control,21.1,normal,2.874219,423.5917,18.727995
159265,female,control,20.8,normal,2.539063,510.6383,20.747843
160223,male,control,21.3,normal,3.320313,470.74207,15.07906
160237,female,control,20.2,normal,3.209375,526.3158,19.305317
160256,female,control,20.3,normal,2.7625,503.05676,17.546497
161432,male,control,26.7,normal,3.107813,497.66718,19.361626
163022,female,control,19.6,normal,3.036719,495.35605,20.4136
163060,male,control,25.9,normal,3.483594,482.97836,24.665085
163067,male,control,26.3,normal,2.955469,499.56635,22.858925
163883,male,control,25.3,normal,3.422656,525.45154,22.036873
164434,male,control,27.4,normal,3.178906,459.55002,23.49038
165241,female,control,19,normal,3.178906,484.19638,14.79237
165293,female,control,18.8,normal,3.067188,502.3548,21.284927
165878,male,control,28,normal,3.138281,424.9668,18.272717
165884,female,control,20.8,normal,3.371875,408.4527,16.50727
166350,male,control,25.5,normal,2.914844,452.97263,19.684515
166351,male,control,28.4,normal,2.782812,487.0624,23.484116
166354,female,control,21.7,normal,3.391146,454.33032,15.627984
167691,male,control,23.7,normal,3.148438,510.6383,20.178259
167714,female,control,21.2,normal,3.270313,499.13345,21.190575
